"Mean","SD","2.5%","50%","97.5%"
1,0,1,1,1
0.356,0.118,0.166,0.341,0.621
0.409,0.122,0.204,0.398,0.674
0.42,0.214,0.093,0.389,0.893
0.252,0.103,0.101,0.234,0.498
3.155,1.157,1.611,2.932,6.024
1,0,1,1,1
1.195,0.294,0.738,1.154,1.88
1.249,0.725,0.306,1.117,3.041
0.709,0.168,0.424,0.695,1.084
2.689,0.897,1.483,2.512,4.891
0.885,0.209,0.532,0.866,1.355
1,0,1,1,1
1.07,0.597,0.264,0.969,2.543
0.618,0.177,0.325,0.601,1.01
3.417,3.948,1.12,2.573,10.773
1.121,1.05,0.329,0.896,3.268
1.301,1.251,0.393,1.032,3.782
1,0,1,1,1
0.782,0.694,0.209,0.626,2.286
4.701,2.098,2.009,4.275,9.948
1.493,0.373,0.922,1.438,2.36
1.758,0.545,0.99,1.664,3.08
1.844,1.164,0.437,1.598,4.781
1,0,1,1,1
1,0,1,1,1
0.356,0.118,0.166,0.341,0.621
0.409,0.122,0.204,0.398,0.674
0.42,0.214,0.093,0.389,0.893
0.252,0.103,0.101,0.234,0.498
0.711,0.119,0.44,0.726,0.897
0.264,0.123,0.079,0.245,0.548
0.303,0.131,0.098,0.287,0.593
0.308,0.18,0.053,0.277,0.725
0.188,0.101,0.049,0.168,0.435
0,0,0,0,0
0.032,0.177,0,0,1
0.015,0.12,0,0,0
0.205,0.404,0,0,1
0.748,0.434,0,1,1
0,0,0,0,0
-2.099,0.269,-2.636,-2.095,-1.579
-1.891,0.253,-2.395,-1.888,-1.401
-1.937,0.756,-3.445,-1.938,-0.436
-2.576,0.314,-3.203,-2.571,-1.966
0,0,0,0,0
2.099,0.269,1.579,2.095,2.636
1.891,0.253,1.401,1.888,2.395
1.937,0.756,0.436,1.938,3.445
2.576,0.314,1.966,2.571,3.203
-2.099,0.269,-2.636,-2.095,-1.579
0,0,0,0,0
-0.208,0.321,-0.836,-0.208,0.424
-0.162,0.803,-1.764,-0.159,1.428
0.477,0.293,-0.107,0.474,1.06
-1.891,0.253,-2.395,-1.888,-1.401
0.208,0.321,-0.424,0.208,0.836
0,0,0,0,0
0.047,0.799,-1.544,0.046,1.618
0.685,0.357,-0.015,0.685,1.391
-1.937,0.756,-3.445,-1.938,-0.436
0.162,0.803,-1.428,0.159,1.764
-0.047,0.799,-1.618,-0.046,1.544
0,0,0,0,0
0.638,0.818,-0.977,0.637,2.264
-2.576,0.314,-3.203,-2.571,-1.966
-0.477,0.293,-1.06,-0.474,0.107
-0.685,0.357,-1.391,-0.685,0.015
-0.638,0.818,-2.264,-0.637,0.977
0,0,0,0,0
1,0,1,1,1
8.458,2.354,4.849,8.125,13.953
6.84,1.786,4.058,6.603,10.974
9.334,10.581,1.546,6.945,31.343
13.809,4.566,7.144,13.081,24.609
0.127,0.035,0.072,0.123,0.206
1,0,1,1,1
0.855,0.284,0.433,0.812,1.528
1.184,1.394,0.171,0.853,4.172
1.682,0.511,0.898,1.607,2.885
0.156,0.04,0.091,0.151,0.246
1.297,0.437,0.654,1.231,2.308
1,0,1,1,1
1.456,1.734,0.213,1.047,5.044
2.115,0.799,0.985,1.983,4.02
0.194,0.308,0.032,0.144,0.647
1.658,3.542,0.24,1.173,5.835
1.336,2.286,0.198,0.955,4.685
1,0,1,1,1
2.7,4.785,0.376,1.891,9.622
0.08,0.026,0.041,0.076,0.14
0.648,0.195,0.347,0.622,1.113
0.537,0.201,0.249,0.504,1.015
0.744,0.857,0.104,0.529,2.656
1,0,1,1,1
1.701,1.705,0.045,1.177,6.271
1.594,1.667,0.039,1.062,6.185
2.593,2.278,0.086,1.999,8.542
1.912,1.921,0.049,1.33,7.103
1.923,1.921,0.052,1.322,7.06
1.988,1.994,0.053,1.375,7.35
1.647,1.701,0.042,1.122,6.189
1.993,2.002,0.05,1.371,7.405
2.131,2.115,0.056,1.495,7.796
1.768,1.808,0.044,1.213,6.715
1.929,1.928,0.049,1.341,7.106
2.075,2.03,0.053,1.442,7.433
2.392,2.217,0.071,1.753,8.169
2.177,2.135,0.057,1.533,7.931
1.818,1.836,0.046,1.242,6.762
2.2,2.161,0.054,1.555,7.956
1.89,1.902,0.047,1.302,7.038
1.899,1.872,0.05,1.342,6.886
2.471,2.403,0.066,1.739,8.978
2.557,2.298,0.082,1.913,8.556
1.482,1.582,0.035,0.98,5.818
2.173,2.14,0.055,1.522,7.938
2.019,1.993,0.052,1.416,7.399
1.991,2.007,0.051,1.365,7.421
1.954,1.958,0.051,1.35,7.182
2.617,2.155,0.186,2.061,8.258
4.993,0.081,5,5,5
2.616,0.751,1,3,4
3.246,0.741,2,3,4
2.855,1.209,1,3,4
1.289,0.537,1,1,3
0.722,0.15,0.478,0.705,1.056
52.898,10.19,34.754,52.271,74.515
