"Number.of.Event.in.arm.1","Number.of.Event.in.arm.2","Total.number.in.arm.1","Total.number.in.arm.2","Arm.1","Arm.2","Arm1","Arm2","rms","Comparison"
36,32,41,84,"A","B",1,2,2,"1vs2"
19,7,25,25,"A","B",1,2,2,"1vs2"
20,5,25,50,"A","B",1,2,2,"1vs2"
41,47,50,100,"A","B",1,2,2,"1vs2"
122,69,160,314,"A","E",1,5,2,"1vs5"
236,53,402,399,"A","E",1,5,2,"1vs5"
23,15,27,52,"A","E",1,5,2,"1vs5"
42,15,50,100,"A","B",1,2,2,"1vs2"
64,34,154,154,"A","C",1,3,2,"1vs3"
34,15,53,106,"A","C",1,3,2,"1vs3"
70,42,130,129,"A","C",1,3,2,"1vs3"
92,31,121,121,"A","C",1,3,2,"1vs3"
35,20,45,90,"A","C",1,3,2,"1vs3"
41,62,59,117,"A","C",1,3,2,"1vs3"
37,15,43,85,"A","C",1,3,2,"1vs3"
16,21,18,35,"A","C",1,3,2,"1vs3"
70,35,122,123,"A","B",1,2,2,"1vs2"
204,71,300,300,"A","D",1,4,2,"1vs4"
25,17,41,84,"A","B",1,2,2,"1vs2"
25,20,41,100,"A","C",1,3,2,"1vs3"
175,166,281,274,"B","E",2,5,2,"2vs5"
57,20,119,118,"B","E",2,5,2,"2vs5"
19,12,100,100,"B","E",2,5,2,"2vs5"
19,7,100,100,"B","E",2,5,2,"2vs5"
16,21,258,254,"B","E",2,5,2,"2vs5"
60,50,305,297,"B","C",2,3,2,"2vs3"
17,20,84,100,"B","C",2,3,2,"2vs3"
111,66,523,526,"C","E",3,5,2,"3vs5"
